headline,source,source_type,label
"5 viet, ktoré emocionálne vyspelí muži nikdy nepovedia žene, ktorú milujú: Zistite koho máte po svojom boku",topky.sk,tabloid,1
Čo sa dialo v deň nehody princeznej Diany? Tieto otázky dodnes vyvolávajú pochybnosti,topky.sk,tabloid,1
"Dioriviera: Letné líčenie a makeup plný žiarivých farieb, s ktorými objavíte svoje nové ja",topky.sk,tabloid,1
"Stopka po Let’s Dance: Laura Arcolin priznala, čo sa deje s jej zdravím! Skončí s tancom?",topky.sk,tabloid,1
Vnučka legendárneho Rudolfa Hrušínského (†73) šokuje: Celkom NAHÁ na titulke!,topky.sk,tabloid,1
"Šialenstvo v nákupnom centre! Pozor, letí sedačka: VIDEO zachytáva, ako sa hlúpy žart mohol zmeniť tragédiu",topky.sk,tabloid,1
"Vallovci a PS sa pustili do starostu: Rozhádali ich chodníky, vyliaty asfalt a otázniky, celé je to INAK!",topky.sk,tabloid,1
"NOVÉ ZISTENIA o obetiach na pláži v známom letovisku! Vyčíňanie sériového vraha, vyšetrovatelia šokovali verejnosť",topky.sk,tabloid,1
OTRASNÝ POHĽAD Turisti zanechali po sebe spúšť! Za jediný deň zmenili obľúbenú pláž na SMETISKO,topky.sk,tabloid,1
"Ruský dron zasiahol panelák v Rumunsku: Prezident chce odvetu a žiada medzinárodnú reakciu, zvolal bezpečnostnú radu",topky.sk,tabloid,0
Po mesiacoch odkladania kvôli vojne nastal čas: Irán má chystať veľkolepý pohreb Chameneího,topky.sk,tabloid,0
"NATO potvrdilo, čo si všetci mysleli: Dron, ktorý zasiahol Rumunsko, bol ruský!",topky.sk,tabloid,1
Krajinu zasiahli tragické povodne: Stúpajúca hladina rieky si vyžiadala obete,topky.sk,tabloid,0
VIDEO Na Liptove horel les: Plamene po sebe zanechali spúšť za 30-tisíc eur,topky.sk,tabloid,1
"Dotácia 1,2 milióna eur pre neexistujúcu firmu: Migaľ čelí kritike za podozrivý projekt v Poprade",topky.sk,tabloid,0
Brownfieldy pod drobnohľadom: Slovensko spúšťa mapovanie zanedbaných území pre ich nový život,topky.sk,tabloid,0
"Zlé správy z Tatier: Obľúbený turistický chodník zostáva kompletne ZATVORENÝ, cez leto sa tam nedostanete!",topky.sk,tabloid,1
"Je to definitívne: Šutaj Eštok musí zaplatiť čurillovcom, súd jeho návrh zamietol! Reakcia advokátky ministra",topky.sk,tabloid,1
Beštiálny prípad utýraného šteniatka v osade: Páchateľ vyviazol len s ročnou podmienkou!,topky.sk,tabloid,1
"Putin prekvapil vyhlásením o vojne: Tvrdí, že sa blíži jej koniec",topky.sk,tabloid,1
Desivé varovanie experta: Po skončení vojny na Ukrajine nebude pokoj! Európe hrozí obrovské nebezpečenstvo,topky.sk,tabloid,1
"Masívna nehoda vo Virgínii: Autobus sa zrazil so šiestimi autami, hlásia obete",topky.sk,tabloid,1
Dánsko varuje pred Iránom: Hovorí o čoraz väčšej teroristickej hrozbe,topky.sk,tabloid,1
Pozlátené sochy aj nápisy: Trump si nechá postaviť víťazný oblúk,topky.sk,tabloid,1
"Historický moment: Poľsko získalo 6,6 miliardy eur na obranu ako prvé v Európskej únii",topky.sk,tabloid,1
Premiér Fico sa v Bratislave stretol so srbským ministrom obrany Gašićom,topky.sk,tabloid,1
Ostrá kritika od Hargaša: Výstavba D1 Turany - Hubová sa posúva pre neschopnosť Ráža,topky.sk,tabloid,1
"Opozičné strany musia byť obozretné pri vytváraní partnerstiev, uviedlo Hnutie Slovensko",topky.sk,tabloid,1
"Šimečka vo vysielaní šokoval výsluhových dôchodcov: BÚRIA sa aj odbory, takto sa dôvera nebuduje, pán predseda!",topky.sk,tabloid,1
"MIMORIADNY ONLINE Celé NATO je v pohotovosti: Explózia ruského dronu na území aliancie, z bytovky šľahajú plamene!",topky.sk,tabloid,1
"MIMORIADNE Krvavá dráma v dejisku MS v hokeji! Muž pobodal troch ľudí, kričal Alláhu akbar: Autentické VIDEO",topky.sk,tabloid,1
"Turistku uniesli a tri dni znásilňovali migranti: Polícia zverejnila VIDEO razie! Bilancia: 5 zatknutých, 11 deportovaných",topky.sk,tabloid,1
PANIKA v Rakúsku! Na poliach s kukuricou objavili silný JED! Vedci šokujúcim výsledkom nemohli uveriť,topky.sk,tabloid,1
Životom skúšaný známy herec Roman Luknár: Skončil na vozíku!,topky.sk,tabloid,1
"MS v hokeji 2026: Slovenský fanúšik sa stal hviezdou majstrovstiev, ľudia pukajú od smiechu",topky.sk,tabloid,1
"Najšťastnejšie deti vraj vyrastajú v rodinách, kde rodičia robia túto jednu vec: Osvojiť si ju môžete aj vy",topky.sk,tabloid,1
Kyslá chuť v ústach? Môžete mať niektorú z týchto diagnóz,topky.sk,tabloid,1
"Ferrari Luce - obrovské auto, brutálny elektromobil. A vlastne Ferrari",topky.sk,tabloid,1
"Everest praská vo švíkoch, odborníci varujú pred nadmerným počtom horolezcov",topky.sk,tabloid,1
"KVÍZ: Spisovné slová, ktoré používate NESPRÁVNE! Odhalí vás už 5 otázok",topky.sk,tabloid,1
Generácia Z mení pravidlá práce. Starší kolegovia tomu často nerozumejú a vzniká tichý konflikt na pracoviskách,topky.sk,tabloid,0
U Adely to bolo tentoraz dosť inak! Ostrieľaná moderátorka v koncoch: Na tému sa vôbec nechytala,topky.sk,tabloid,1
"Kríza vo vzťahu Vinczeovcov? Adela v šoku, za toto chceli Viktora na internete roztrhať!",topky.sk,tabloid,1
Dcéra Karola Konárika zdedila talent aj vkus: V tomto sa však s otcom sporia už dvadsať rokov,topky.sk,tabloid,1
"VIDEO Megaoslava Bagárovej dcéry za tisíce: Živé zvieratá, luxusná výzdoba a aha, kto prišiel",topky.sk,tabloid,1
Nela Slováková skončila v slzách: Obrovské trápenie!,topky.sk,tabloid,1
Syn Jana Krausa čelí obvineniu zo znásilnenia: Expertka zanalyzovala jeho správanie... Takýto je!,topky.sk,tabloid,1
"Odolal Turkom, no zničil ho blesk: Hrad Šomoška dnes láka tisíce návštevníkov ročne",topky.sk,tabloid,1
Komáre sú prefíkanejšie než kedykoľvek predtým: REPELENT už nemusí fungovať,topky.sk,tabloid,1
Z európskych pastvín MIZNÚ celé stáda dobytka! Na svedomí to majú mať KRAVSKÉ GANGY pri Slovensku,topky.sk,tabloid,1
Máte prehľad o aktuálnych udalostiach? Otestujte sa v KVÍZE: Na koľko otázok poznáte odpoveď?,topky.sk,tabloid,1
Bratislavu ovládnu zberateľské poklady: Do Incheby prídu rarity za 150-tisíc eur aj nové 0 Euro suveníry,topky.sk,tabloid,0
Bekim opäť rozbehne Pezinok. Charitatívny beh Run Bekim Run chce spojiť stovky ľudí pre dobrú vec,topky.sk,tabloid,1
"Kde nakupovať, keď chcete ušetriť čas aj peniaze?",topky.sk,tabloid,0
Ugrilujte si niečo nové! 3 prekvapivo ľahké recepty Jamieho Olivera,topky.sk,tabloid,1
Vypátrali páchateľa ozbrojenej lúpeže na odpočívadle Zeleneč: Pomohli kamerové záznamy,topky.sk,tabloid,0
Nočný požiar odpadu v bratislavskej Petržalke: Príčina je zatiaľ neznáma,topky.sk,tabloid,0
"Tragédia na Kysuciach: Štvorkolka narazila do stromu, spolujazdec zomrel vo vrtuľníku! Hrozivé VIDEO po nehode",topky.sk,tabloid,1
"Žena jazdila po Bratislave pod vplyvom alkoholu: VIDEO Nafúkala až 2,3 promile",topky.sk,tabloid,1
"Slovensko má záujem ďalej rozvíjať partnerstvo s Andorrou, uviedol prezident Pellegrini",topky.sk,tabloid,0
"Totálny bizár: KVÍZ vám prezradí, čo viete o neobvyklých zvykoch a tradíciách vo svete",topky.sk,tabloid,1
"Cestovateľský kvíz: Uhádnite, na akých miestach vznikli fotografie celebrít!",topky.sk,tabloid,1
Čo nám priniesol minulý týždeň? KVÍZ preverí vaše znalosti o aktuálnych udalostiach,topky.sk,tabloid,1
Hokejové MS odštartovali: Zvládnete tento KVÍZ bez chyby? Preverí aj skutočných fanúšikov Slovenska!,topky.sk,tabloid,1
"Barkolovej mama je vzácny úkaz: Vážení, táto šupa je už prababičkou!",topky.sk,tabloid,1
Mrzutá rybka prichádza do kín: Toto podmorské dobrodružstvo si deti zamilujú!,topky.sk,tabloid,1
"Valábik a Gáborík prezradili, koho by si najradšej pozvali do štúdia!",topky.sk,tabloid,1
"Bolesť a tŕpnutie rúk môžu skončiť operáciou: Odborník radí, kedy spozornieť",topky.sk,tabloid,1
"Tomáš Stríž: Ušiel „hrobárovi‟ z lopaty. Túto chybu s bežným liekom možno robíte aj vy, jemu sa takmer stala osudnou!",topky.sk,tabloid,1
"Slováci vytvorili prípravok, ktorý si ženy zamilovali: Pozrite na tie výsledky!",topky.sk,tabloid,1
"Všade samé zdražovanie, ale... V týchto 20 dovolenkových destináciách ceny klesli",topky.sk,tabloid,1
"Saksun prežil vďaka jedinej žene, dnes patrí medzi najkrajšie dediny sveta",topky.sk,tabloid,1
JAZDA: Leapmotor B10 Hybrid EV pridáva elektromobilu spaľovák,topky.sk,tabloid,0
"Nový priestranný hatchback MG4 EV Urban dorazil na Slovensko. Obrovský kufor, dobrá cena",topky.sk,tabloid,1
Prečo ľudia odchádzajú z práce aj kvôli osvetleniu či hluku: Skrytí zabijaci produktivity,topky.sk,tabloid,1
"Končíte školu? Sociálna a zdravotná poisťovňa radia absolventom, čo (ne)musia riešiť",topky.sk,tabloid,0
Ako rýchlo očistiť cesnak bez lepkavých prstov,topky.sk,tabloid,0
"Bublanina ako od babičky, ktorá sa vždy podarí: Tento recept nikdy nesklame",topky.sk,tabloid,1
Majo Labuda rozčuľuje divákov Dunaja: Všetci riešia len jednu vec!,topky.sk,tabloid,1
Zomrel herec zo seriálu Emily v Paríži: Podľahol krutej diagnóze!,topky.sk,tabloid,1
Hráč BC Slovan Dávid Abrhám hodnotí prehru o 50 bodov a titul Levíc,topky.sk,tabloid,0
Otvorenie folklórneho festivalu Trnavská brána,topky.sk,tabloid,0
V Košiciach sa zrazili teplovzdušné balóny,topky.sk,tabloid,0
Influencerka sa stala mamičkou: Od bolesti hrýzla manžela! Môže takto vyzerať po pôrode?,topky.sk,tabloid,1
"Influencerka neverí vlastným očiam: Jedno dieťa ako anjel, druhé úplný opak?!",topky.sk,tabloid,1
"Sex a erotika podľa znamení: Takto zvediete ľahko muža, po ktorom naozaj túžite!",topky.sk,tabloid,1
Takto vyzerá noha Matouša Kohouta po nehode: Fanúšikovia zostali v šoku!,topky.sk,tabloid,1
Gábor Boráros reaguje na uniknuté správy: Po smrti Moniky Jákliovej sa otvorila citlivá téma!,topky.sk,tabloid,1
FOTO UFC stavia arénu pri Bielom dome: Prvé zábery vyrážajú dych!,topky.sk,tabloid,1
"Výborné správy: Ľudovít Klein sa vracia do UFC, pozná termín zápasu!",topky.sk,tabloid,1
Mel Gibson spôsobil chaos: Po jeho vyhlásení prudko vzrástol záujem o tento liek! Experti varujú,topky.sk,tabloid,1
Emília Vášáryová sa presťahovala z domu do bytu: S týmto v ňom úporne bojujem,topky.sk,tabloid,1
Oslava 6. narodenín dcérky Moniky Bagárovej,topky.sk,tabloid,0
Union prispeje ženám 30 eur na menštruačné nohavičky. Zľavy na tradičné hygienické pomôcky platia aj naďalej,topky.sk,tabloid,0
FOTOTurčiansky beh 2026 spojil stovky ľudí: PARASPORT24 rozdelil pomoc za takmer 10-tisíc eur!,topky.sk,tabloid,1
Keď móda ulice spája pohodlie a osobitý štýl,topky.sk,tabloid,0
Storno dovolenky kvôli chorobe dieťaťa: Kedy pomôže cestovné poistenie?,topky.sk,tabloid,0
"ŠKANDÁL na škole: Najskôr prichytili zdrogovaného, polonahého školníka, potom ich dorazil samotný riaditeľ!",topky.sk,tabloid,1
"Dráma vo vlaku RegioJetu: Zostal stáť šesť hodín! Ľudia sa varili vo vlastnom pote, nešla klimatizácia",topky.sk,tabloid,1
Smutná správa z Česka: Zomrel známy herec... Do poslednej chvíle aktívne hral!,topky.sk,tabloid,1
"Nastal obrovský POPLACH: Evakuovať museli cez 40-tisíc ľudí, hrozí masívna explózia nádrže!",topky.sk,tabloid,1
Brutálny BOMBOVÝ útok na vlak s vojakmi: Na mieste rátajú 24 mŕtvych a 50 ďalších ľudí bojuje o život!,topky.sk,tabloid,1
"AKTUÁLNE Ťažká hromadná nehoda pri Senici: Neprejazdná cesta, na miesto išli všetky zložky a DVA vrtuľníky",topky.sk,tabloid,1
Veľké víťazstvo nového premiéra: Maďarsko získa miliardy z eurofondov,topky.sk,tabloid,0
"Vodiči, pripravte sa na komplikácie: Na D3 prídu úplné uzávery aj odstávka tunelov",topky.sk,tabloid,1
"Newsfilter: Chodí ako Rus, kváka ako Rus, je to Robert Fico",dennikn.sk,quality,0
Prečo vidím výsledky prijímačiek len v EduPage a nie v systéme ePrihlášky (otázky a odpovede),dennikn.sk,quality,0
Klesajúca pôrodnosť nie je len o ženách. Ani mnohí muži nechcú veľké rodiny (Víkend bez politiky),dennikn.sk,quality,0
"Vallo chválil hliadky v MHD, fotografia ukázala policajta so symbolom, ktorý obľubujú extrémisti",dennikn.sk,quality,0
Brennerský priesmyk čaká kritický víkend. Prečo namiesto spájania Európu rozdeľuje?,dennikn.sk,quality,0
Prieskum Ipsosu: Péter Magyar získava priaznivcov aj medzi Maďarmi na Slovensku,dennikn.sk,quality,0
Keď Ty tvorí Ja. O výstave Moniky a Bohuša Kubinských,dennikn.sk,quality,0
FPU už podporuje aj „kultúru života“. Viac než 50-tisíc eur získal pochod za život,dennikn.sk,quality,0
Havlova cena pre „Putinovu peňaženku“? Ako sieť Aurora presadzuje svojho zakladateľa,dennikn.sk,quality,0
"Prvý veľký úspech Magyara: EÚ uvoľní Maďarsku ešte viac eurofondov, ako sa čakalo",dennikn.sk,quality,0
"Hokej, adrenalín a prehraté milióny. Ako hazardu pomáhajú veľké šampionáty a masívne reklamy",dennikn.sk,quality,0
Gašpar moc zneužíval ako policajný prezident a robí to aj ako poslanec (udalosti týždňa),dennikn.sk,quality,0
Vývoj bojov (1555. deň): S Gripenmi príde na front raketa Meteor – ruské lietadlá už nebudú nezraniteľné,dennikn.sk,quality,0
Graf dňa: Bývanie v úvode roka zdraželo takmer rekordným tempom,dennikn.sk,quality,0
Kariéru v USA vymenila za pomoc Ukrajincom. V Michalovciach narazila na lži a nezáujem mesta,dennikn.sk,quality,0
"V Kyjeve spal Husák, strieľal mafián a rečnil Mečiar. Po desaťročiach ho môžu obnoviť",dennikn.sk,quality,0
"Ipsos: Dve tretiny populácie si myslia, že Gašpar by mal odstúpiť, za jeho odchod je aj každý tretí volič Smeru",dennikn.sk,quality,0
Trumpov svet (494. deň): Vyrieši iránsky urán tretia krajina? Ako by mohla vyzerať mierová dohoda,dennikn.sk,quality,0
"SNS pripúšťa možnosť odloženia rušenia voľby poštou zo zahraničia, nevie sa dohodnúť s Huliakom",dennikn.sk,quality,0
"Čínsky Huawei vraví, že sa naučil vyrábať pokročilé čipy aj bez európskych strojov od ASML",dennikn.sk,quality,0
"Nie bezpečnosť, ale pôrodnosť. Pre švédskeho premiéra je hlavnou témou umelé oplodnenie zadarmo",dennikn.sk,quality,0
"Prehrabávajú odpadky, aby prežili, Rusi ich zabíjajú ako na safari. Reportáž z mesta, kde sa už nedá žiť (čítanie z New York Times)",dennikn.sk,quality,0
"Ruský dron zasiahol bytovku v Rumunsku, dvaja ľudia skončili v nemocnici s popáleninami. Fico za problém označil, že EÚ nehovorí s Ruskom",dennikn.sk,quality,0
Kedy má zamestnanec nárok na voľno v práci a kedy mu ho firmy aj zaplatia,dennikn.sk,quality,0
Odborárka Uhlerová o vzťahu s premiérom Ficom: Cítiť tam aj aroganciu,dennikn.sk,quality,0
"Svetový newsfilter: Putin stratil státisíce vojakov, podľa ukrajinského generála čoskoro môže prísť zlom",dennikn.sk,quality,0
Týždeň v práve Rada Procházku: Poplatky v zdravotníctve sú národné kultúrne dedičstvo,dennikn.sk,quality,0
Veľké spojenie inovatívnych slovenských strojárov. Oživený Essel preberá úspešné lesné traktory Equus,dennikn.sk,quality,0
"Manžel mi bol neverný, poslala som ho preč, no stále ho milujem. Mám mu ešte dať šancu?",dennikn.sk,quality,0
"Ľudí hnevá veľa reklám na hazard počas MS. Mohli by sme ísť cestou Británie, vraví psychológ",dennikn.sk,quality,0
"Matky maskujú osamelosť úsmevom, väčšina ľudí sa ju snaží skryť (Terapia slovom+)",dennikn.sk,quality,0
"Výsledky prijímačiek na stredné školy sú už dostupné cez EduPage, oficiálne ich zverejnia až 1. júna",dennikn.sk,quality,0
